CN=GlobalSign Root CA, OU=Root CA, O=GlobalSign nv-sa, C=BE| Tue Sep 01 05:00:00 PDT 1998| Tue Jan 28 04:00:00 PST 2014
OU=Class 3 Public Primary Certification Authority, O="VeriSign, Inc.", C=US| Tue Jan 18 16:00:00 PST 2005| Sun Jan 18 15:59:59 PST 2015
EMAILADDRESS=server-certs@thawte.com, CN=Thawte Server CA, OU=Certification Services Division, O=Thawte Consulting cc, L=Cape Town, ST=Western Cape, C=ZA| Wed Jul 31 17:00:00 PDT 1996| Thu Dec 31 15:59:59 PST 2020
CN=Baltimore CyberTrust Code Signing Root, OU=CyberTrust, O=Baltimore, C=IE| Wed May 17 07:01:00 PDT 2000| Sat May 17 16:59:00 PDT 2025
CN=Entrust Root Certification Authority, OU="(c) 2006 Entrust, Inc.", OU=www.entrust.net/CPS is incorporated by reference, O="Entrust, Inc.", C=US| Mon Nov 27 12:23:42 PST 2006| Fri Nov 27 12:53:42 PST 2026
CN=T-TeleSec GlobalRoot Class 2, OU=T-Systems Trust Center, O=T-Systems Enterprise Services GmbH, C=DE| Wed Oct 01 03:40:14 PDT 2008| Sat Oct 01 16:59:59 PDT 2033
OU=Security Communication EV RootCA1, O="SECOM Trust Systems CO.,LTD.", C=JP| Tue Jun 05 19:12:32 PDT 2007| Fri Jun 05 19:12:32 PDT 2037
CN=Class 3P Primary CA, O=Certplus, C=FR| Wed Jul 07 10:10:00 PDT 1999| Sat Jul 06 16:59:59 PDT 2019
CN=GlobalSign, O=GlobalSign, OU=GlobalSign Root CA - R3| Wed Mar 18 03:00:00 PDT 2009| Sun Mar 18 03:00:00 PDT 2029
CN=Certum Trusted Network CA, OU=Certum Certification Authority, O=Unizeto Technologies S.A., C=PL| Wed Oct 22 05:07:37 PDT 2008| Mon Dec 31 04:07:37 PST 2029
CN=thawte Primary Root CA - G3, OU="(c) 2008 thawte, Inc. - For authorized use only", OU=Certification Services Division, O="thawte, Inc.", C=US| Tue Apr 01 17:00:00 PDT 2008| Tue Dec 01 15:59:59 PST 2037
OU=Go Daddy Class 2 Certification Authority, O="The Go Daddy Group, Inc.", C=US| Tue Jun 29 10:06:20 PDT 2004| Thu Jun 29 10:06:20 PDT 2034
OU=Security Communication RootCA2, O="SECOM Trust Systems CO.,LTD.", C=JP| Thu May 28 22:00:39 PDT 2009| Mon May 28 22:00:39 PDT 2029
CN=AAA Certificate Services, O=Comodo CA Limited, L=Salford, ST=Greater Manchester, C=GB| Wed Dec 31 16:00:00 PST 2003| Sun Dec 31 15:59:59 PST 2028
CN=thawte Primary Root CA, OU="(c) 2006 thawte, Inc. - For authorized use only", OU=Certification Services Division, O="thawte, Inc.", C=US| Thu Nov 16 16:00:00 PST 2006| Wed Jul 16 16:59:59 PDT 2036
CN=Entrust Root Certification Authority - G2, OU="(c) 2009 Entrust, Inc. - for authorized use only", OU=See www.entrust.net/legal-terms, O="Entrust, Inc.", C=US| Tue Jul 07 10:25:54 PDT 2009| Sat Dec 07 09:55:54 PST 2030
EMAILADDRESS=premium-server@thawte.com, CN=Thawte Premium Server CA, OU=Certification Services Division, O=Thawte Consulting cc, L=Cape Town, ST=Western Cape, C=ZA| Wed Jul 31 17:00:00 PDT 1996| Thu Dec 31 15:59:59 PST 2020
CN=UTN - DATACorp SGC, OU=http://www.usertrust.com, O=The USERTRUST Network, L=Salt Lake City, ST=UT, C=US| Thu Jun 24 11:57:21 PDT 1999| Mon Jun 24 12:06:30 PDT 2019
CN=DigiCert High Assurance EV Root CA, OU=www.digicert.com, O=DigiCert Inc, C=US| Thu Nov 09 16:00:00 PST 2006| Sun Nov 09 16:00:00 PST 2031
CN=KEYNECTIS ROOT CA, OU=ROOT, O=KEYNECTIS, C=FR| Mon May 25 17:00:00 PDT 2009| Mon May 25 17:00:00 PDT 2020
CN=GeoTrust Primary Certification Authority, O=GeoTrust Inc., C=US| Sun Nov 26 16:00:00 PST 2006| Wed Jul 16 16:59:59 PDT 2036
CN=TC TrustCenter Class 2 CA II, OU=TC TrustCenter Class 2 CA, O=TC TrustCenter GmbH, C=DE| Thu Jan 12 06:38:43 PST 2006| Wed Dec 31 14:59:59 PST 2025
CN=UTN-USERFirst-Client Authentication and Email, OU=http://www.usertrust.com, O=The USERTRUST Network, L=Salt Lake City, ST=UT, C=US| Fri Jul 09 10:28:50 PDT 1999| Tue Jul 09 10:36:58 PDT 2019
CN=VeriSign Class 2 Public Primary Certification Authority - G3, OU="(c) 1999 VeriSign, Inc. - For authorized use only", OU=VeriSign Trust Network, O="VeriSign, Inc.", C=US| Thu Sep 30 17:00:00 PDT 1999| Wed Jul 16 16:59:59 PDT 2036
OU=VeriSign Trust Network, OU="(c) 1998 VeriSign, Inc. - For authorized use only", OU=Class 3 Public Primary Certification Authority - G2, O="VeriSign, Inc.", C=US| Sun May 17 17:00:00 PDT 1998| Tue Aug 01 16:59:59 PDT 2028
CN=DigiCert Assured ID Root CA, OU=www.digicert.com, O=DigiCert Inc, C=US| Thu Nov 09 16:00:00 PST 2006| Sun Nov 09 16:00:00 PST 2031
CN=Sonera Class2 CA, O=Sonera, C=FI| Fri Apr 06 00:29:40 PDT 2001| Tue Apr 06 00:29:40 PDT 2021
CN=America Online Root Certification Authority 1, O=America Online Inc., C=US| Mon May 27 23:00:00 PDT 2002| Thu Nov 19 12:43:00 PST 2037
OU=Secure Server Certification Authority, O="RSA Data Security, Inc.", C=US| Tue Nov 08 16:00:00 PST 1994| Thu Jan 07 15:59:59 PST 2010
CN=Entrust.net Certification Authority (2048), OU=(c) 1999 Entrust.net Limited, OU=www.entrust.net/CPS_2048 incorp. by ref. (limits liab.), O=Entrust.net| Fri Dec 24 09:50:51 PST 1999| Tue Jul 24 07:15:12 PDT 2029
OU=Security Communication RootCA1, O=SECOM Trust.net, C=JP| Mon Sep 29 21:20:49 PDT 2003| Fri Sep 29 21:20:49 PDT 2023
CN=Certum CA, O=Unizeto Sp. z o.o., C=PL| Tue Jun 11 03:46:39 PDT 2002| Fri Jun 11 03:46:39 PDT 2027
CN=America Online Root Certification Authority 2, O=America Online Inc., C=US| Mon May 27 23:00:00 PDT 2002| Tue Sep 29 07:08:00 PDT 2037
